rankings,contests,ani_num
1,26,0
2,51,0
3,84,0
4,107,3
5,146,0
6,100,-1
7,131,0
8,88,0
9,61,0
10,50,3
11,58,0
12,292,0
13,55,0
14,65,0
15,40,-1
16,99,-1
17,52,-1
18,264,0
19,39,-1
20,82,3
21,73,2
22,70,-1
23,24,0
24,121,-1
25,60,0
26,183,0
27,250,-1
28,30,-1
29,101,-1
30,201,-1
31,28,3
32,91,0
33,108,0
34,31,0
35,95,-1
36,208,-1
37,27,0
38,100,0
39,32,0
40,249,-1
41,69,0
42,56,0
43,62,-1
44,90,0
45,168,3
46,43,-1
47,185,-1
48,68,3
49,29,0
50,139,-1
51,78,0
52,455,-1
53,46,2
54,19,4
55,32,0
56,97,2
57,12,0
58,296,-1
59,32,0
60,31,0
61,132,0
62,18,0
63,46,0
64,83,3
65,32,0
66,123,0
67,79,3
68,340,-1
69,127,0
70,39,0
71,12,0
72,9,0
73,23,3
74,23,-1
75,52,-1
76,27,0
77,28,0
78,148,-1
79,200,0
80,78,-1
81,140,-1
82,16,2
83,64,-1
84,31,3
85,19,0
86,30,-1
87,139,-1
88,231,1
89,92,3
90,42,0
91,60,1
92,59,0
93,74,-1
94,78,0
95,204,4
96,102,0
97,80,3
98,48,3
99,99,-1
100,229,-1
101,71,0
102,271,0
103,48,-1
104,245,0
105,35,0
106,30,0
107,21,0
108,43,1
109,107,0
110,144,0
111,116,0
112,41,0
113,86,0
114,43,-1
115,22,3
116,22,1
117,25,0
118,33,3
119,100,3
120,61,0
121,58,0
122,91,-1
123,57,0
124,36,-1
125,19,-1
151,38,0
152,133,4
153,125,0
154,122,0
155,36,-1
156,56,0
157,183,0
158,27,0
159,91,-1
160,147,0
161,27,0
162,123,0
163,27,0
164,338,0
165,278,0
166,174,0
167,30,-1
168,67,0
169,48,2
170,18,0
171,42,0
172,6,3
173,39,0
174,31,0
175,42,0
201,30,0
202,340,2
203,43,0
204,8,0
205,369,2
206,20,0
207,13,0
208,128,-1
209,38,0
210,50,2
211,14,0
212,47,0
213,12,-1
214,24,1
215,38,1
216,166,0
217,64,0
218,81,0
219,35,0
220,90,0
221,48,0
222,133,0
223,46,0
224,75,0
225,76,3
276,113,2
277,77,0
278,201,-1
279,69,3
280,88,0
281,54,-1
282,14,-1
283,30,2
284,36,0
285,160,-1
286,179,0
287,29,-1
288,42,0
289,361,0
290,123,-1
291,19,0
292,67,-1
293,44,-1
294,205,-1
295,97,-1
296,174,0
297,56,0
298,33,0
299,55,0
300,85,1
326,30,0
327,21,0
328,424,0
